"","Cebu Doctors University Hospital,Cebu City,Cebu","Chong Hua Hospital,Cebu City,Cebu","Perpetual Succour Hospital,Cebu City,Cebu","Asian Hospital and Medical Center,Muntinlupa,Metro Manila","Cardinal Santos Medical Center,San Juan,Metro Manila","Centuria Medical Makati - Asian Breast Center,Makati,Metro Manila","Chinese General Hospital and Medical Center,Manila,Metro Manila","Jose R. Reyes Memorial Medical Center,Manila,Metro Manila","Lung Center of the Philippines,Quezon City,Metro Manila","Makati Medical Center,Makati,Metro Manila","Manila Doctors Hospital,Manila,Metro Manila","Manila Med,Manila,Metro Manila","Metropolitan Medical Center,Manila,Metro Manila","Philippine General Hospital,Manila,Metro Manila","Philippine Oncology Center Corporation - Marian,Quezon City,Metro Manila","Quirino Memorial Medical Center,Quezon City,Metro Manila","Rizal Medical Center,Pasig,Metro Manila","San Juan De Dios Hospital,Pasay,Metro Manila","St. Luke's Medical Center - Global City,Taguig,Metro Manila","St. Luke's Medical Center - Quezon City,Quezon City,Metro Manila","The Medical City,Pasig,Metro Manila","University of Perpetual Help Delta,Las Pinas,Metro Manila","University of Santo Tomas,Manila,Metro Manila","Urology Center of the Philippines Inc.,Quezon City,Metro Manila"
"Lavezares,Northern Samar",467580.0,467865.0,468895.0,595783.0,619133.0,614729.0,620692.0,620130.0,627784.0,612536.0,620078.0,616729.0,620627.0,616403.0,638151.0,623848.0,615314.0,612565.0,614245.0,625421.0,617113.0,603954.0,619464.0,628439.0
"Lawaan,Eastern Samar",279787.0,280072.0,281102.0,871340.0,894690.0,890286.0,896249.0,895687.0,903341.0,888093.0,895635.0,892286.0,896184.0,891960.0,913708.0,899405.0,890871.0,888122.0,889802.0,900978.0,892670.0,879511.0,895021.0,903996.0
"Leyte,Leyte",162731.0,163016.0,164046.0,905551.0,928901.0,924497.0,930460.0,929898.0,937552.0,922304.0,929846.0,926497.0,930395.0,926171.0,947919.0,933616.0,925082.0,922333.0,924013.0,935189.0,926881.0,913722.0,929232.0,938207.0
"Libagon,Southern Leyte",272251.0,272536.0,273566.0,981946.0,1005296.0,1000892.0,1006855.0,1006293.0,1013947.0,998699.0,1006241.0,1002892.0,1006790.0,1002566.0,1024314.0,1010011.0,1001477.0,998728.0,1000408.0,1011584.0,1003276.0,990117.0,1005627.0,1014602.0
"Liloan,Southern Leyte",262041.0,262326.0,263356.0,985951.0,1009321.0,1004917.0,1010880.0,1010318.0,1017972.0,1002724.0,1010266.0,1006917.0,1010815.0,1006591.0,1028339.0,1014036.0,1005502.0,1002753.0,1004433.0,1015609.0,1007301.0,994142.0,1009652.0,1018627.0
"Llorente,Eastern Samar",357110.0,357395.0,358425.0,898828.0,922178.0,917791.0,923737.0,923175.0,930829.0,915581.0,923140.0,919774.0,923672.0,919465.0,941196.0,926893.0,918376.0,915610.0,917290.0,928466.0,920158.0,907016.0,922509.0,931484.0
"Lope de Vega,Northern Samar",420600.0,420905.0,421935.0,663413.0,686763.0,682359.0,688322.0,687760.0,695414.0,680166.0,687708.0,684359.0,688257.0,684033.0,705781.0,691478.0,682944.0,680195.0,681875.0,693051.0,684743.0,671584.0,687094.0,696069.0
"Macarthur,Leyte",220328.0,220613.0,221643.0,883337.0,906687.0,902283.0,908246.0,907684.0,915338.0,900090.0,907632.0,904283.0,908181.0,903957.0,925705.0,911402.0,902868.0,900119.0,901799.0,912975.0,904667.0,891508.0,907018.0,915993.0
"Macrohon,Southern Leyte",254727.0,255012.0,256042.0,1002237.0,1025567.0,1021163.0,1027146.0,1026584.0,1034218.0,1018990.0,1026532.0,1023183.0,1027061.0,1022857.0,1044585.0,1030282.0,1021768.0,1019019.0,1020699.0,1031875.0,1023567.0,1010408.0,1025918.0,1034873.0
"Mahaplag,Leyte",188405.0,188690.0,189720.0,912336.0,935686.0,931282.0,937245.0,936683.0,944337.0,929089.0,936631.0,933282.0,937180.0,932956.0,954704.0,940401.0,931867.0,929118.0,930798.0,941974.0,933666.0,920507.0,936017.0,944992.0
